"Year","Quarter","Group","Unit","Inflation Deflator","Real Total Wealth","Real Wealth Share","Real Wealth Per Unit Growth","Real Wealth Per Unit"
"","1","Middle 40%","","0.59040364","19431324256710.434","0.30499847665137053","0","240975.74591639443"
"","2","Middle 40%","","0.5940838466666667","19410027925843.582","0.30692179734153796","-0.004423811690579953","239909.71459446326"
"","3","Middle 40%","","0.59756557","19486877047106.684","0.3081460061407347","-0.003404187990345946","240155.4191761812"
"","4","Middle 40%","","0.6008106066666666","19385726905639.93","0.3106568070446211","-0.011353223804694891","238239.8943415023"
"","1","Middle 40%","","0.6047504533333333","19132684935195.547","0.31683160822627854","-0.027316182455140847","234393.20847367856"
"","2","Middle 40%","","0.6084077733333334","19484074308926.098","0.3161056419975173","-0.0126893766119629","237917.9139221126"
"","3","Middle 40%","","0.6107976633333334","19123855797618.504","0.3183315058482685","-0.033678439892594836","232860.05874197592"
"","4","Middle 40%","","0.6126988733333333","19323654456352.934","0.31778979527136575","-0.02612199372671526","234680.97899327584"
"","1","Middle 40%","","0.6146763566666666","19735869885779.19","0.31528860605550507","-0.008253846954127652","238986.76898994375"
"","2","Middle 40%","","0.6168066466666667","19424330868694.457","0.31586485878549186","-0.026787838563946308","234520.5265369595"
"","3","Middle 40%","","0.6197768266666667","18779819643149.984","0.3193690622606675","-0.06140972799434437","226177.49090643442"
"","4","Middle 40%","","0.6233348666666666","18665287065296.973","0.3176914933828967","-0.06942742786794426","224245.4196988599"
"","1","Middle 40%","","0.62644247","18804969757839.223","0.3186495429806491","-0.0651360028788801","225279.54903664388"
"","2","Middle 40%","","0.6286033000000001","19325582932059.758","0.31719304055595077","-0.042184614962007455","230810.2768597288"
"","3","Middle 40%","","0.6321765966666666","19732528704926.625","0.31531290187361377","-0.02451289329861268","235068.73316919227"
"","4","Middle 40%","","0.6360706666666667","20269169989229.38","0.3138878690448457","-0.0006167256395998777","240827.12999536606"
"","1","Middle 40%","","0.64056784","21067967692728.184","0.310651037042424","0.03561651517746924","249558.46222822764"
"","2","Middle 40%","","0.6457140633333334","21448226605782.152","0.31098031842519036","0.05093371606167409","253249.5361366502"
"","3","Middle 40%","","0.6498601066666666","21662743114058.48","0.31209838998339084","0.05846449898493191","255064.27216891665"
"","4","Middle 40%","","0.6548841166666667","22402492556365.496","0.310854960829609","0.09182630997804807","263103.65945810464"
"","1","Middle 40%","","0.6600991466666667","22817916741976.582","0.31108505220671906","0.10870577175376468","267171.2003501752"
"","2","Middle 40%","","0.6649017533333333","23083590862290.656","0.3108703824629798","0.11794889360437708","269398.56853272265"
"","3","Middle 40%","","0.6709489599999999","23500752215702.656","0.30996516050542056","0.13491787666082417","273487.6818821926"
"","4","Middle 40%","","0.6763776933333333","23988768053224.78","0.3101713524131156","0.1553496008730653","278411.2318645955"
"","1","Middle 40%","","0.68114213","24370627953100.566","0.30706725439277155","0.1702087156664898","281991.9181355983"
"","2","Middle 40%","","0.6871816900000001","24356840494967.535","0.30773757549767033","0.1658966525432892","280952.8155080465"
"","3","Middle 40%","","0.6919767033333333","24545015723799.01","0.3095062043721304","0.1717669761979302","282367.4211294942"
"","4","Middle 40%","","0.6945651333333333","25012102550518.848","0.30878165956207193","0.19107437991457688","287020.0371418221"
"","1","Middle 40%","","0.7012230566666666","25019555513919.574","0.30627928473835464","0.18801918016032929","286283.8081021187"
"","2","Middle 40%","","0.7059112166666667","25093514721040.39","0.30593057213072605","0.18786370473468267","286246.3422954519"
"","3","Middle 40%","","0.7095761499999999","25222896995997.72","0.3054067319809219","0.19072755939648076","286936.4618087748"
"","4","Middle 40%","","0.7125845166666668","25004937312410.26","0.3049598000163833","0.1773619643234103","283715.6775664252"
"","1","Middle 40%","","0.7150889433333334","23983591215816.613","0.3030837303833528","0.12598201663165653","271334.3563462595"
"","2","Middle 40%","","0.7187156666666666","23047791993934.01","0.30196298967840246","0.0787348517166147","259948.93553842235"
"","3","Middle 40%","","0.7241367933333334","21990787316418.59","0.3013117684041374","0.02651358747082895","247364.87743409697"
"","4","Middle 40%","","0.7258548133333335","20326766912728.34","0.29941687848332654","-0.05365257985749338","228046.77546489605"
"","1","Middle 40%","","0.7254958933333334","19313639250295.938","0.30113380639251386","-0.10348243220925582","216038.9896255263"
"","2","Middle 40%","","0.7242283833333333","19261796721644.65","0.3005660521345555","-0.10881889391912694","214753.03178443582"
"","3","Middle 40%","","0.7250072566666667","19891388604464.76","0.29942390973475413","-0.0823608462769161","221128.7795505091"
"","4","Middle 40%","","0.7273970833333333","20239343103835.457","0.30033974313509404","-0.0688276828985157","224389.94369022755"
"","1","Middle 40%","","0.7293746866666666","20406651195240.598","0.29882336751553146","-0.06384424060053974","225590.8324152136"
"","2","Middle 40%","","0.7329327066666668","19908941301013.02","0.29607977427694065","-0.08957853628427628","219389.49131719215"
"","3","Middle 40%","","0.735147","19996531424750.76","0.2929586781907138","-0.08808169432836721","219750.19392403628"
"","4","Middle 40%","","0.7394533566666667","20399479390146.547","0.2889493441017835","-0.07205754428437956","223611.62543356247"
"","1","Middle 40%","","0.7432709566666666","20505776880476.24","0.28559825782865544","-0.06999565872354864","224108.4898445779"
"","2","Middle 40%","","0.74818051","20487918274676.2","0.2837034804527872","-0.0737992126784215","223191.92559316917"
"","3","Middle 40%","","0.7528075566666667","19680478995051.652","0.28336145232794696","-0.11275144603953777","213805.38210386471"
"","4","Middle 40%","","0.7537161533333334","19627563044577.01","0.28279863031222807","-0.1174114679342388","212682.42985180242"
"","1","Middle 40%","","0.7582897766666666","20172539357662.996","0.27993851097085193","-0.09551807445210742","217958.20667680015"
"","2","Middle 40%","","0.7613438566666667","20051028218879.035","0.27751727974480295","-0.10372600268626143","215980.29504814665"
"","3","Middle 40%","","0.7652913899999999","20186867603346.53","0.27539270368475693","-0.09986729430290595","216910.15017909958"
"","4","Middle 40%","","0.7691701266666667","20384422089479.066","0.27315748313319826","-0.09304719481476084","218553.62874047935"
"","1","Middle 40%","","0.7722471533333334","21078307564174.12","0.2738139114010982","-0.06466420644176026","225393.24053499955"
"","2","Middle 40%","","0.7744385566666668","21685120646911.69","0.2765961472697389","-0.0405636809781835","231200.88263556198"
"","3","Middle 40%","","0.7780881933333333","22351477088198.53","0.2796696144627425","-0.013569336185489788","237705.8650075057"
"","4","Middle 40%","","0.78273815","23264958681541.34","0.28285974412262876","0.024355296238479696","246844.78159447684"
"","1","Middle 40%","","0.7859984433333334","23742453121493.688","0.28272769747789167","0.04259616701786513","251240.3890367038"
"","2","Middle 40%","","0.7904499166666668","24175374611604.01","0.2815771511473321","0.05852266537781972","255078.28885883006"
"","3","Middle 40%","","0.7939010066666667","24367715071913.84","0.28175538265627437","0.06440226960130574","256495.13087227783"
"","4","Middle 40%","","0.7952219833333333","24669830956499.074","0.2806478435643352","0.07527131612305965","259114.30746525744"
"","1","Middle 40%","","0.7949394399999999","25185358544467.406","0.2796406906593573","0.09497973349052159","263863.5580412132"
"","2","Middle 40%","","0.7992458333333333","25390537038533.047","0.27960329044566334","0.10091883936270761","265294.7385088397"
"","3","Middle 40%","","0.8016279533333334","25017297036038.316","0.28091765198496704","0.08222430777370349","260789.80981462184"
"","4","Middle 40%","","0.8015515999999999","25404464148577.543","0.28222083420764926","0.09664549091626569","264264.96517939767"
"","1","Middle 40%","","0.8009102533333333","25949161242296.5","0.2825267145836798","0.11745694644558341","269280.0211991809"
"","2","Middle 40%","","0.8065680466666666","26196595474360.582","0.28309413092596575","0.12525236687311206","271158.5284514365"
"","3","Middle 40%","","0.8088052266666667","26726807754961.855","0.28363481324414985","0.1456557186017149","276075.24135343113"
"","4","Middle 40%","","0.8130657500000001","26940719941159.062","0.28425529648016873","0.1526849544405786","277769.11670292355"
"","1","Middle 40%","","0.8172728600000001","27446052306760","0.2842601896388912","0.17171780659794478","282355.5724484613"
"","2","Middle 40%","","0.8198154333333334","27971554706094.37","0.28411450152112183","0.19139597605702363","287097.5340121321"
"","3","Middle 40%","","0.82393084","28426415386228.355","0.284459626875481","0.20862307402224062","291248.84679427504"
"","4","Middle 40%","","0.82960395","29081057252746.066","0.2838413918056716","0.2344726810134044","297477.9751206164"
"","1","Middle 40%","","0.83469667","29418009585373.676","0.28368881014854613","0.24629279125650982","300326.33500326273"
"","2","Middle 40%","","0.8418586833333334","29460903887203.605","0.28363648357185545","0.2455642907044391","300150.78403932694"
"","3","Middle 40%","","0.8446913933333334","30057391582162.207","0.2827292899944563","0.2687570813118245","305739.6840558244"
"","4","Middle 40%","","0.8485319800000001","29148750928637.938","0.28424604241744345","0.2285671075649347","296054.87515380734"
"","1","Middle 40%","","0.8518151433333333","29730966312406.05","0.28374296140937394","0.250487794562569","301337.22905406205"
"","2","Middle 40%","","0.8565643000000001","30883848663860.74","0.2831342499828215","0.29574235827146084","312242.4812999333"
"","3","Middle 40%","","0.8593589466666667","31077709777037.793","0.2851075734436464","0.3013311296679598","313589.2396559608"
"","4","Middle 40%","","0.8625122899999998","32194853215558.797","0.28396069774929633","0.3464662359231607","324465.70555282355"
"","1","Middle 40%","","0.8659863866666666","31182515849319.625","0.2852259981047822","0.30325192484168356","314052.1047057015"
"","2","Middle 40%","","0.86274135","32549701273598.23","0.28560698770124826","0.35966508207048775","327646.3073484115"
"","3","Middle 40%","","0.8702087566666666","34741554448254.67","0.2864142888512645","0.4504679885098628","349527.6054590164"
"","4","Middle 40%","","0.8757138433333335","36614436177223.31","0.28711226424244357","0.5278632978793633","368177.99786476186"
"","1","Middle 40%","","0.8866171266666667","38089444481946.65","0.28532904977303253","0.5896811958666567","383074.61194323347"
"","2","Middle 40%","","0.9003759800000001","38886396090016.984","0.28287500310329733","0.6221589477266065","390900.9624233725"
"","3","Middle 40%","","0.9140432866666667","39744564807954.36","0.28352936695876246","0.6563071786718021","399129.8578471163"
"","4","Middle 40%","","0.92928344","40294008072786.57","0.2830801040477582","0.6776621657591403","404275.89178952255"
"","1","Middle 40%","","0.94811225","40582716274227.74","0.2882705043240543","0.6887100643706813","406938.1673982474"
"","2","Middle 40%","","0.9689795933333333","40498126548686.445","0.29622381246104934","0.6834577649445808","405672.4906262666"
"","3","Middle 40%","","0.9793790366666667","40013905350465.34","0.2970267438796941","0.660940727349253","400246.430695905"
"","4","Middle 40%","","0.98883921","39543236717302.34","0.2958655029419069","0.6390320750898988","394966.97687568417"
"","1","Middle 40%","","0.9986047966666667","39341357520912.71","0.29388489308345567","0.6289182862864362","392529.7990747289"
"","1","Top 10%","","0.59040364","43843438436984.82","0.6881765626354854","0","2174881.164312481"
"","2","Top 10%","","0.5940838466666667","43397431951348.04","0.6862235265916518","-0.013470301073769946","2145584.8602295206"
"","3","Top 10%","","0.59756557","43330006097105.04","0.685177429538872","-0.017882712879351174","2135988.3889043718"
"","4","Top 10%","","0.6008106066666666","42629123581467.22","0.6831328782969881","-0.03647439385986601","2095553.6921269435"
"","1","Top 10%","","0.6047504533333333","40838853706033.19","0.6762793482266667","-0.07983204085775697","2001255.962342321"
"","2","Top 10%","","0.6084077733333334","41676922158820.555","0.6761578726611135","-0.06401807046152598","2035649.468690079"
"","3","Top 10%","","0.6107976633333334","40593790829037.69","0.6757153316490921","-0.09091684343706603","1977147.8340024592"
"","4","Top 10%","","0.6126988733333333","41125489897338.01","0.6763348539702828","-0.08140479930913073","1997835.3996104146"
"","1","Top 10%","","0.6146763566666666","42424704940769.46","0.6777520403460647","-0.05515433615189593","2054927.0374855637"
"","2","Top 10%","","0.6168066466666667","41666582639788.734","0.6775527728886688","-0.0747754769573386","2012253.387925483"
"","3","Top 10%","","0.6197768266666667","39699029635166.69","0.6751205340710618","-0.12064889122001603","1912484.1633028826"
"","4","Top 10%","","0.6233348666666666","39801702999950.766","0.6774426999703739","-0.12054216666588033","1912716.276525442"
"","1","Top 10%","","0.62644247","39919889374406.445","0.6764411040698384","-0.12044517140150773","1912927.2296989535"
"","2","Top 10%","","0.6286033000000001","41342621584302.88","0.6785612569090788","-0.09187629827985604","1975061.133736867"
"","3","Top 10%","","0.6321765966666666","42618845866098.086","0.6810212804194994","-0.06623354620597183","2030831.0722234922"
"","4","Top 10%","","0.6360706666666667","44050782156875.28","0.6821693314688111","-0.037396295964998674","2093548.6646031504"
"","1","Top 10%","","0.64056784","46420471176861.84","0.684478337987365","0.011308507599463837","2199475.8244870394"
"","2","Top 10%","","0.6457140633333334","47180840923296.19","0.6840804698482364","0.024583613149066253","2228347.6015011296"
"","3","Top 10%","","0.6498601066666666","47428269459237.22","0.6833061934949556","0.027064971711911596","2233744.2615013677"
"","4","Top 10%","","0.6548841166666667","49330833521053.71","0.6845101848955584","0.06554908340366097","2317442.6311450507"
"","1","Top 10%","","0.6600991466666667","50167247364935.945","0.6839485366724415","0.08033484027321008","2349599.8952607373"
"","2","Top 10%","","0.6649017533333333","50812621615744.44","0.6843016413636803","0.09065646291633712","2372048.1979324156"
"","3","Top 10%","","0.6709489599999999","51944278951702.51","0.6851234639138295","0.11177828708076688","2417985.655463554"
"","4","Top 10%","","0.6763776933333333","52953271891765.52","0.6846782594640327","0.13030608462449605","2458281.4133576057"
"","1","Top 10%","","0.68114213","54666452854748.664","0.688791344146055","0.16336313047478895","2530176.5597252217"
"","2","Top 10%","","0.6871816900000001","54577936005978","0.6895673396398395","0.15785454193995377","2518196.034278861"
"","3","Top 10%","","0.6919767033333333","54646514582390.695","0.6890782023073889","0.15621393529710217","2514627.9097932773"
"","4","Top 10%","","0.6945651333333333","55950614852048.125","0.6907265661748755","0.18084076750740635","2568188.3433041517"
"","1","Top 10%","","0.7012230566666666","56722733710371.914","0.6943767765798812","0.1937099338560432","2596177.250796206"
"","2","Top 10%","","0.7059112166666667","57096819544055.586","0.6961026729074136","0.19788417520360468","2605255.729678312"
"","3","Top 10%","","0.7095761499999999","57667559072071.99","0.6982568560745774","0.2065541030185007","2624111.792378878"
"","4","Top 10%","","0.7125845166666668","57474595478722.38","0.7009592115439784","0.1993831609529076","2608515.845550043"
"","1","Top 10%","","0.7150889433333334","55905388272717","0.7064835901243444","0.16323832301865096","2529905.1183397016"
"","2","Top 10%","","0.7187156666666666","54168912767530.97","0.7096995170390841","0.12365579461491066","2443817.822878543"
"","3","Top 10%","","0.7241367933333334","52094711568737.07","0.7137875257226584","0.07774335634256829","2343963.7256723656"
"","4","Top 10%","","0.7258548133333335","48853784391450.65","0.7196249008702895","0.008041238614146238","2192369.9027121295"
"","1","Top 10%","","0.7254958933333334","46211897610478.875","0.7205252437264711","-0.049293892236204895","2067672.8065723097"
"","2","Top 10%","","0.7242283833333333","46238551007439.74","0.7215182951812292","-0.05186280575205899","2062085.724953931"
"","3","Top 10%","","0.7250072566666667","47862716764473.54","0.7204746772142937","-0.021407298291230746","2128322.8344800645"
"","4","Top 10%","","0.7273970833333333","48406479876804.88","0.7183232013848602","-0.012959579419325991","2146695.6191359772"
"","1","Top 10%","","0.7293746866666666","49086007078862.98","0.7187875067232025","-0.001996945637605734","2170538.0448590964"
"","2","Top 10%","","0.7329327066666668","48574219614574.086","0.7223811533579565","-0.015540291272133971","2141082.877536787"
"","3","Top 10%","","0.735147","49468720646174.15","0.7247402414176178","-0.00016177773559647335","2174529.316962527"
"","4","Top 10%","","0.7394533566666667","51376509501462.23","0.7277248815407105","0.035772434811893704","2252681.958986465"
"","1","Top 10%","","0.7432709566666666","52482803621985.75","0.7309646139119829","0.05492981731786102","2294346.989356222"
"","2","Top 10%","","0.74818051","52903310338281.04","0.7325709263979118","0.05995628278613637","2305278.9544262416"
